#ap2016,anp2016,b2017,r2017,hindi,code,desc,b2018
"","","","","","3451","Secretariat - Economic Services",""
"","","","","","00.090","Secretariat",""
"","","","","*+ ,","18","Department of Space",""
"0","86032","95500","113300","","18.00.01","Salaries","117200"
"0","0","50","10","","18.00.02","Wages","10"
"0","53","100","60","*0 ","18.00.03","Overtime Allowance","60"
"0","9801","12000","30580","10","18.00.06","Medical Treatment","30000"
"0","7704","11500","15800","4 ","18.00.11","Domestic Travel Expenses","13000"
"0","98","3000","1000",",4 ","18.00.12","Foreign Travel Expenses","1000"
"0","9680","18400","19900","%4 ","18.00.13","Office Expenses","21000"
"0","1281","2000","1500","1,","18.00.14","Rent, Rates & Taxes","1500"
"0","47","500","500","","18.00.16","Publications","500"
"0","1700","3500","2500","!4 ","18.00.20","Other Administrative Expenses","2500"
"0","0","100","100","7","18.00.21","Supplies & Materials","100"
"0","298","2500","1500","","18.00.24","POL","1500"
"0","0","100","100",",:","18.00.26","Advertising & Publicity","100"
"0","59","600","500","%%","18.00.27","Minor Works","500"
"0","120463","113000","150000","4","18.00.28","Professional Services","79700"
"0","17","200","200","!,","18.00.30","Other Contractual Services","100"
"0","10230","30000","30000","!","18.00.31","Grant-in-aid - General","30000"
"0","0","50","50","","18.00.32","Contributions","30"
"0","45","1400","800","!","18.00.50","Other Charges","800"
"","","","","?@","18.99","Information Technology",""
"0","249","400","400","%4 ","18.99.13","Office Expenses","300"
"0","16","200","200","!","18.99.50","Other Charges","100"
"0","247773","295100","369000",": *+ ,","","Total:Department of Space","300000"
"0","247773","295100","369000",": *+ ,","","Total:Secretariat","300000"
"0","247773","295100","369000",": '% '3451'","","Total:Major Head'3451'","300000"
"","","","","*+('% (/)","3402","Space Research",""
"","","","","*+ ?@ (%)","00.101","Space Technology",""
"","","","",",*+ (....)","01","Vikram Sarabhai Space Centre (VSSC)",""
"2075000","3303000","5904000","6105500","","01.00.01","Salaries","6333700"
"0","2850","3000","3000","*0 ","01.00.03","Overtime Allowance","3000"
"418500","42296","670000","670000","10","01.00.06","Medical Treatment","680000"
"80500","6000","115000","125000","4 ","01.00.11","Domestic Travel Expenses","129980"
"3500","200","8000","8000",",4 ","01.00.12","Foreign Travel Expenses","8000"
"569730","69552","550000","630000","%4 ","01.00.13","Office Expenses","599980"
"0","0","300","0","","01.00.16","Publications","100"
"0","90800","85000","95000","!4 ","01.00.20","Other Administrative Expenses","94990"
"508600","26646","749970","780100","7","01.00.21","Supplies & Materials","864990"
"0","43300","53000","53000","","01.00.24","POL","54000"
"0","14300","8000","8000",",:","01.00.26","Advertising & Publicity","5500"
"358200","6776","430000","445000","%%","01.00.27","Minor Works","464590"
"468800","4791","720000","659000","4","01.00.28","Professional Services","640000"
"365000","29997","545000","614500","!,","01.00.30","Other Contractual Services","686580"
"0","500","700","700","!","01.00.31","Grant-in-aid - General","700"
"0","0","200","400","","01.00.32","Contributions","400"
"0","26897","50000","50000",",G","01.00.34","Scholarships & Stipends","40000"
"0","868","1000","450","!- *","01.00.50","Other Charges- Charged","1000"
"90500","10000","100000","100550","","","Voted","99990"
"","","","","I%(...)","01.96","Swachhta Action Plan (SAP)",""
"0","0","0","0","%%","01.96.27","Minor Works","5400"
"","","","?@","","01.99","Information Technology",""
"0","29978","15000","40000","","01.99.13","Office Expenses","17500"
"0","0","11800","11800","","01.99.50","Other Charges","12500"
"4938330","3708751","10019970","10400000","","","Total:Vikram Sarabhai Space Centre (VSSC)","10742900"
"0","868","1000","450","","","Charged","1000"
"4938330","3707883","10018970","10399550","","","Voted","10741900"
"","","","","","02","ISRO Inertial Systems Unit (IISU)",""
"800","0","1000","1000","","02.00.02","Wages","1300"
"11995","0","15000","15500","","02.00.11","Domestic Travel Expenses","16500"
"356","0","1500","1000","","02.00.12","Foreign Travel Expenses","1500"
"25177","0","43000","30000","","02.00.13","Office Expenses","45000"
"3000","0","2500","3000","","02.00.20","Other Administrative Expenses","3000"
"120000","0","100000","150000","","02.00.21","Supplies & Materials","135200"
"500","0","1000","1000","","02.00.24","POL","2000"
"400","0","1500","1500","","02.00.26","Advertising & Publicity","1500"
"6999","0","40000","19000","","02.00.27","Minor Works","35000"
"9000","0","8300","1000","","02.00.28","Professional Services","4000"
"82644","0","75000","95000","","02.00.30","Other Contractual Services","110000"
"100","0","200","200","","02.00.31","Grant-in-aid - General","200"
"4000","0","15000","4500","","02.00.50","Other Charges","5000"
"","","","I%(","","02.96","Swachhta Action Plan (SAP)",""
"0","0","0","0","","02.96.27","Minor Works","800"
"","","","?@","","02.99","Information Technology",""
"4000","0","5000","4000","","02.99.13","Office Expenses","7000"
"500","0","1000","5500","","02.99.50","Other Charges","2000"
"269471","0","310000","332200","","","Total:ISRO Inertial Systems Unit (IISU)","370000"
"","","","","","04","Polar Satellite Launch Vehicle - Continuation (PSLV-C) Project",""
"80985","0","90000","90000","","04.00.01","Salaries","100000"
"18","0","100","20","","04.00.03","Overtime Allowance","20"
"17992","0","19900","20000","","04.00.11","Domestic Travel Expenses","22500"
"0","0","100","0","","04.00.12","Foreign Travel Expenses","0"
"11406","0","20000","14580","","04.00.13","Office Expenses","10000"
"10001","0","12500","20000","","04.00.20","Other Administrative Expenses","20000"
"9500","0","5000","20000","","04.00.21","Supplies & Materials","10000"
"2500","0","1000","2000","","04.00.27","Minor Works","1500"
