"","","","स(cid:23)चवालय-आ(cid:23)थ!क सेवाएं","3451","Secretariat - Economic Services",""
"","","","स(cid:23)चवालय (लघु शीघ!)","00.090","Secretariat",""
"","","","अंत(र) *वभाग","18","Department of Space",""
"110844","116800","97500","","18.00.01","Salaries","100200"
"0","0","0","मजदूर/","18.00.02","Wages","0"
"62","100","100","समयोप(र भ0 ता","18.00.03","Overtime Allowance","100"
"14945","30000","24000","(cid:23)च1क0 सीय उपचार","18.00.06","Medical Treatment","20000"
"13999","15000","12000","ेशीय या3ा 4 यय","18.00.11","Domestic Travel Expenses","14000"
"5998","6000","15000","*वदेशी या3ा 4 यय","18.00.12","Foreign Travel Expenses","6000"
"16525","16000","30000","30000 काया!लय 4 यय","18.00.13","Office Expenses","14000"
"9278","1200","1200","1कराया, महसूल और कर","18.00.14","Rent, Rates & Taxes","1200"
"306","500","300","7काशन","18.00.16","Publications","500"
"3094","3000","3000","अ8 य 7शास9नक 4 यय","18.00.20","Other Administrative Expenses","3000"
"0","100","100","स: लाई और साज सामान","18.00.21","Supplies & Materials","100"
"965","1200","1000","पी.ओ.एल.","18.00.24","POL","1000"
"0","100","0","*व>ापन और 7चार","18.00.26","Advertising & Publicity","100"
"","","","स(cid:23)चवालय-आ(cid:23)थ!क सेवाएं","3451","Secretariat - Economic Services",""
"","","","अंत(र) *वभाग (लघु शीघ!) (जार/)","00.090","Secretariat",""
"","","","अंत(र) *वभाग (जार/)","18","Department of Space",""
"0","500","500","लघु 9नमा!ण काय!","18.00.27","Minor Works","500"
"344076","146600","336300","4 यावसा9यक सेवाएं","18.00.28","Professional Services","191500"
"0","100","0","अ8 य सं*वदागत सेवाएं","18.00.30","Other Contractual Services","100"
"9657","12000","8400","सामा8 य अनुदान","18.00.31","Grant-in-aid - General","9000"
"0","0","0","अंशदान","18.00.32","Contributions","0"
"20","400","200","200 अ8 य 7भार","18.00.50","Other Charges","0"
"","","","ूचना 7ौBयो(cid:23)गकC","18.99","Information Technology",""
"284","300","300","300 काया!लय 4 यय","18.99.13","Office Expenses","300"
"0","100","100","100 अ8 य 7भार","18.99.50","Other Charges","100"
"530053","350000","530000","530000","","Total:Department of Space","361700"
"530053","350000","530000","530000","","Total:Secretariat","361700"
"530053","350000","530000","530000","","Total:Major Head  '3451'","361700"
"","","","अंत(र) अनुसंधान (मु$ य शीघ! (जार/)","3402","Space Research",""
"","","","अंत(र) 7ौBयो(cid:23)गकC (लघु शीष!)","00.101","Space Technology",""
"","","","*वJम साराभाई अंत(र) क(cid:12) K (वी.एस.एस.सी.)","01","Vikram Sarabhai Space Centre (VSSC)",""
"6645637","6799300","7033000","ेतन","01.00.01","Salaries","6892000"
"2641","3000","3000","समयोप(र भ0 ता","01.00.03","Overtime Allowance","3000"
"542957","700000","700000","(cid:23)च1क0 सीय उपचार","01.00.06","Medical Treatment","600000"
"163676","165000","162000","ेशीय या3ा 4 यय","01.00.11","Domestic Travel Expenses","170000"
"4978","28000","8800","*वदेश या3ा 4 यय","01.00.12","Foreign Travel Expenses","8000"
"667084","670000","700000","काया!लय 4 यय","01.00.13","Office Expenses","500000"
"0","100","100","7काशन","01.00.16","Publications","100"
"55925","70000","70000","70000 अ8 य 7शास9नक 4 यय","01.00.20","Other Administrative Expenses","50000"
"489986","686500","661640","स: लाई और साज सामान","01.00.21","Supplies & Materials","400000"
"59182","63000","65000","पी.ओ.एल.","01.00.24","POL","60000"
"8368","8000","15900","*व>ापन और 7चार","01.00.26","Advertising & Publicity","8150"
"406429","617000","619300","लघु 9नमा!ण काय!","01.00.27","Minor Works","370000"
"596826","660000","620000","4 यावसा9यक सेवाएं","01.00.28","Professional Services","600000"
"696215","700000","723410","723410 अ8 य सं*वदागत सेवाएं","01.00.30","Other Contractual Services","590500"
