#City,Name,ABBR
Chandigarh,Semi-Conductor Laboratory,SCL
New Delhi,"DOS Branch Secretariat"
New Delhi,ISRO Branch Office
New Delhi,Delhi Earth Station
Dehradun,"Indian Institute of Remote Sensing",IIRS
Dehradun,Centre for Space Science and Technology Education in Asia-Pacific,CSSTEAP
Lucknow,"ISTRAC Ground Station"
Kolkata,"Eastern Regional Remote Sensing Centre","RRSC"
Shillong,"North Eastern Space Application Centre","NE-SAC"
Nagpur,"Central Regional Remote Sensing Centre",RRSC
Hyderabad,"National Remote Sensing Centre",NRSC
Tirupati,"National Atmospheric Research Laboratory",NARL
Port Blair,"Down Range Station"
Sriharikota,"Satish Dhawan Space Centre","SDSC SHAR"
Mahendragiri,"ISRO Propulsion Complex",IPC
Thiruvananthapuram,"Vikram Sarabhai Space Centre",VSSC
Thiruvananthapuram,Liquid Propulsion Systems Centre,LPSC
Thiruvananthapuram,ISRO Inertial Systems Unit,IISU
Thiruvananthapuram,Indian Institute of Space Science and Technology,IIST
Aluva,"Ammonium Perchlorate Experimental Plant"
Bengaluru,"Space Commission"
Bengaluru,Department of Space and ISRO Headquarters
Bengaluru,INSAT Programme Office
Bengaluru,NNRMS Secretariat
Bengaluru,Civil Engineering Programme Office
Bengaluru,Antrix Corporation
Bengaluru,U R Rao Satellite Centre,URSC
Bengaluru,Laboratory for Electro-Optical Systems,LEOS
Bengaluru,"ISRO Telemetry, Tracking and Command Network",ISTRAC
Bengaluru,Southern Regional Remote Sensing Centre,RRSC
Bengaluru,Liquid Propulsion Systems Centre,LPSC
Bengaluru,Human Space Flight Centre,HSFC
Bengaluru,New Space India Limited,NSIL
Hassan,"Master Control Facility",MCF
Byalalu,"Indian Deep Space Network",IDSN
Byalalu,"Indian Space Science Data Centre",ISSDC
Mumbai,"ISRO Liaison Office"
Bhopal,"Master Control Facility-B",MCFB
Mt. Abu,Infrared Observatory
Ahmedabad,"Space Applications Centre",SAC
Ahmedabad,Physical Research Laboratory,PRL
Ahmedabad,Development and Educational Communication Unit,DECU
Udaipur,"Solar Observatory"
Jodhpur,"Western Regional Remote Sensing Centre",RRSC
