#Amount in lakh
"sno","Particulars","Note","31 March 2020","31 March 2019"
"I","Revenue from operations","25","1,44,350.42","1,63,966.87"
"II","Other income","26","5,912.03","6,914.44"
"III","Total Income (I+II)","","1,50,262.45","1,70,881.31"
"IV","Expenses:","","",""
"","(i) Cost of Revenue from operation","27","1,05,330.44","1,23,256.06"
"","(ii) Purchases of Stock-in-Trade","28","21.25","124.87"
"","(iii) Changes in inventories of stock in Trade","29","41.78","104.60"
"","(iv) Employees benefits expenses","30","490.21","569.09"
"","(v) Finance Costs","30A","22.34","-"
"","(vi) Depreciation and amortisation expenses","4,4A & 5","161.06","151.63"
"","(vii) Other expenses","31","14,490.89","4,755.63"
"","Total Expenses (IV)","","1,20,557.97","1,28,961.88"
"V","Profit before exceptional items and tax (III-IV)","","29,704.48","41,919.43"
"VI","Exceptional items","","-","-"
"VII","Profit before tax (V - VI)","","29,704.48","41,919.43"
"VIII","Tax expense:","","",""
"","(i) Current tax :","","",""
"","a) Current Year","","10,773.13","15,342.93"
"","b) Earlier Years","","-193.81","1,214.24"
"","(ii) Deferred tax","32","-2,943.93","-1,183.32"
"IX","Profit for the period from continuing operations (VII-VIII)","","22,069.09","26,545.58"
"X","Other Comprehensive Income","","",""
"","A(i) Items that will not be reclassified to profit or loss Remeasurement of defined benefit plans","","-6.47","5.60"
"","A(ii) Income tax relating to items that will not be reclassified to profit or loss","","1.63","-1.96"
"XI","B (i) Items that will be reclassified to profit or loss","","-","-"
"","B(ii) Income tax relating to items that will be reclassified to profit or loss","","-","-"
"","Total Other comprehensive Income/ (losses)","","-4.84","3.64"
"XII","Total Comprehensive Income for the period","","22,064.25","26,549.22"
"","(X+XI)(Comprising Profit (Loss) and Other","","",""
"","Comprehensive Income for the period)","","",""
"XIII","Earnings per equity share (for continuing operation):","","",""
"","(1) Basic / Adjusted ","","3,245.45","3,903.76"
"","(2) Diluted ","","3,245.45","3,903.76"
